iter	Passed	Remaining
0	153	153305
1	158	79275
2	163	54349
3	167	41757
4	172	34256
5	176	29169
6	178	25350
7	181	22489
8	183	20232
9	185	18370
10	187	16856
11	189	15590
12	190	14480
13	192	13539
14	193	12736
15	195	12017
16	196	11363
17	197	10787
18	199	10285
19	200	9826
20	201	9399
21	202	9011
22	203	8658
23	204	8329
24	206	8035
25	206	7753
26	207	7492
27	208	7249
28	209	7022
29	210	6810
30	211	6614
31	212	6426
32	213	6254
33	214	6090
34	215	5934
35	215	5783
36	216	5642
37	217	5507
38	218	5382
39	219	5261
40	220	5147
41	220	5037
42	221	4935
43	222	4837
44	223	4741
45	224	4651
46	225	4566
47	226	4484
48	227	4405
49	228	4332
50	229	4262
51	230	4194
52	230	4127
53	231	4063
54	232	4000
55	233	3939
56	234	3879
57	235	3824
58	236	3770
59	237	3717
60	238	3666
61	239	3617
62	239	3569
63	240	3523
64	241	3479
65	242	3435
66	243	3394
67	244	3355
68	245	3315
69	246	3275
70	247	3236
71	248	3197
72	248	3159
73	249	3123
74	250	3088
75	251	3053
76	252	3021
77	252	2988
78	253	2955
79	254	2924
80	255	2894
81	255	2864
82	256	2831
83	257	2804
84	257	2776
85	258	2751
86	259	2725
87	260	2699
88	261	2674
89	262	2649
90	262	2625
91	263	2601
92	264	2578
93	265	2556
94	265	2533
95	266	2512
96	267	2490
97	268	2469
98	269	2448
99	269	2428
100	270	2408
101	271	2389
102	272	2370
103	272	2351
104	273	2334
105	274	2317
106	275	2300
107	276	2282
108	277	2265
109	277	2248
110	278	2231
111	279	2215
112	280	2199
113	280	2183
114	281	2168
115	282	2152
116	283	2136
117	283	2121
118	284	2107
119	285	2093
120	286	2079
121	286	2064
122	287	2051
123	288	2038
124	289	2026
125	290	2013
126	290	1999
127	291	1987
128	292	1975
129	293	1963
130	294	1951
131	294	1939
132	295	1927
133	296	1916
134	297	1904
135	298	1893
136	298	1882
137	299	1871
138	300	1861
139	301	1850
140	302	1839
141	302	1828
142	303	1819
143	304	1809
144	305	1800
145	306	1790
146	306	1780
147	307	1771
148	308	1762
149	309	1753
150	310	1743
151	310	1734
152	311	1725
153	312	1716
154	313	1707
155	314	1698
156	314	1690
157	315	1681
158	316	1673
159	317	1665
160	317	1655
161	318	1649
162	319	1641
163	320	1633
164	321	1625
165	321	1617
166	322	1609
167	323	1601
168	324	1594
169	325	1587
170	325	1579
171	326	1572
172	327	1565
173	328	1557
174	328	1550
175	329	1543
176	330	1536
177	331	1529
178	332	1523
179	333	1517
180	334	1512
181	334	1505
182	335	1499
183	336	1492
184	337	1486
185	338	1480
186	339	1473
187	339	1467
188	340	1461
189	341	1455
190	342	1449
191	342	1443
192	343	1437
193	344	1431
194	345	1425
195	346	1419
196	346	1413
197	347	1407
198	348	1404
199	349	1398
200	350	1393
201	351	1387
202	352	1382
203	352	1376
204	353	1370
205	354	1365
206	355	1360
207	355	1354
208	356	1349
209	357	1344
210	358	1339
211	358	1334
212	359	1329
213	360	1324
214	361	1319
215	362	1314
216	362	1309
217	363	1305
218	364	1300
219	365	1295
220	366	1291
221	367	1286
222	367	1281
223	368	1276
224	369	1272
225	370	1267
226	371	1263
227	371	1258
228	372	1254
229	373	1250
230	374	1246
231	375	1241
232	375	1237
233	376	1233
234	377	1228
235	378	1225
236	379	1221
237	380	1216
238	380	1212
239	381	1208
240	382	1204
241	383	1199
242	383	1195
243	384	1191
244	385	1188
245	386	1184
246	387	1180
247	387	1176
248	388	1172
249	389	1169
250	390	1165
251	391	1161
252	392	1157
253	392	1154
254	393	1150
255	394	1147
256	395	1143
257	396	1139
258	396	1135
259	397	1132
260	398	1128
261	399	1124
262	400	1121
263	400	1117
264	401	1114
265	402	1110
266	403	1107
267	404	1103
268	404	1100
269	405	1096
270	406	1093
271	407	1090
272	408	1087
273	409	1084
274	410	1080
275	410	1077
276	411	1074
277	412	1071
278	413	1068
279	414	1064
280	414	1061
281	415	1058
282	416	1055
283	417	1051
284	418	1048
285	418	1045
286	419	1042
287	420	1039
288	421	1036
289	422	1033
290	422	1030
291	423	1027
292	424	1024
293	425	1021
294	426	1018
295	427	1015
296	427	1012
297	428	1009
298	429	1007
299	430	1004
300	431	1002
301	432	999
302	433	996
303	434	993
304	434	991
305	435	988
306	436	985
307	437	982
308	438	980
309	439	977
310	440	975
311	440	972
312	441	969
313	442	966
314	443	964
315	444	961
316	445	958
317	445	956
318	446	953
319	447	951
320	448	948
321	449	946
322	450	943
323	450	940
324	451	938
325	452	935
326	453	933
327	454	931
328	455	928
329	456	926
330	457	923
331	457	921
332	458	918
333	459	916
334	460	913
335	461	911
336	461	908
337	462	905
338	463	903
339	464	900
340	464	898
341	465	895
342	466	893
343	467	890
344	468	888
345	469	887
346	470	884
347	470	882
348	471	879
349	472	877
350	473	875
351	474	872
352	474	870
353	475	867
354	476	865
355	477	863
356	477	860
357	478	858
358	479	856
359	480	853
360	481	851
361	481	849
362	482	847
363	483	845
364	484	843
365	485	841
366	486	839
367	487	836
368	488	834
369	489	832
370	489	830
371	490	828
372	491	826
373	492	824
374	493	821
375	493	819
376	494	817
377	495	815
378	496	812
379	496	810
380	497	808
381	498	807
382	499	805
383	500	803
384	501	801
385	502	798
386	503	796
387	503	794
388	504	792
389	505	790
390	506	788
391	507	786
392	507	784
393	508	782
394	509	780
395	510	778
396	511	776
397	511	774
398	512	772
399	513	770
400	514	769
401	515	767
402	516	765
403	517	763
404	518	761
405	519	759
406	519	757
407	520	755
408	521	753
409	522	751
410	522	749
411	523	747
412	524	745
413	525	743
414	526	741
415	526	739
416	527	737
417	528	736
418	529	734
419	530	732
420	531	730
421	532	729
422	533	727
423	533	725
424	534	723
425	535	721
426	536	719
427	537	717
428	537	715
429	538	713
430	539	712
431	540	710
432	541	708
433	541	706
434	542	705
435	543	703
436	544	701
437	545	700
438	546	698
439	547	696
440	548	694
441	548	692
442	549	691
443	550	689
444	551	687
445	551	685
446	552	683
447	553	682
448	554	680
449	555	678
450	555	676
451	556	674
452	557	673
453	558	671
454	559	670
455	560	668
456	561	666
457	561	665
